production_companies,revenue,cantidad_peliculas
Bill and Ben Productions,3600019.5,2
Bill/Phillips,9420858.0,3
BillBlock Media,76990862.66666666,9
Biograf Jan Svěrák,9577537.333333334,22
Bird and a Bear Entertainment,7794879.0,4
Birdsong Pictures,1307386.5,2
Biride Productions,16380494.42857143,7
Birnbaum / Barber Productions,129309427.96666667,17
Birnbaum/Barber,25339215.363636363,11
Biscayne Pictures,11222020.3,9
Biscottificio Verona,597934.6428571428,14
Bisgrove Entertainment,5647598.333333333,3
Black & White,2397903.5,9
Black & White Productions,26732664.333333332,4
Black Bear Pictures,123024404.05555555,29
Black Entertainment Television (BET),2923745.4,5
Black Hangar Studios,211211454.6,5
Black Label Media,117590393.33333333,15
Black Light District,98750.0,4
Black Rhino Productions,98404155.66666667,3
Black Sky Entertainment,5092232.333333333,6
Black and Blu Entertainment,29371868.25,4
BlackBird,1624036.6666666667,9
Blackfriars Bridge Films,18209615.625,13
Blacklab Entertainment,750000.0,4
Blacklake Productions,18795.333333333332,3
