director,return_total
Donna Deitch,6.857142857142857
Doug Atchison,2.368553125
"Doug Bollinger, Bx Giongrete",0.011455
Doug Ellin,1.6421134666666666
Doug Lefler,0.37765728358208955
Doug Liman,40.6170342181205
Doug McHenry,2.9787887142857143
"Doug Sweetland, Nicholas Stoller",2.605418257142857
Douglas Aarniokoski,1000000.63374432
Douglas Cheek,2.7299976
Douglas Day Stewart,1.151656
Douglas McGrath,5.066819137820513
Douglas Trumbull,0.6812973333333333
Drake Doremus,14.29970125
Drew Barrymore,1.108869
Drew Goddard,2.2162026666666668
Duane Adler,8.133333333333333
"Duke Johnson, Charlie Kaufman",0.70741075
Duncan Jones,9.266649975
Duncan Tucker,13.350369
Dustin Hoffman,5.410936181818182
Dwight H. Little,12.408310866666667
E. Elias Merhige,1.5163586064814814
Ed Gass-Donnelly,3.0358604
Ed Harris,2.3439030333333335
Ed Solomon,0.0278868
Eddie Murphy,2.028829
Edgar Wright,23.92647692156863
Edmund Goulding,3.7057142857142855
Edward Burns,5.1117672857142855
Edward Dmytryk,12.675687285223368
"Edward Lachman, Larry Clark",0.34441615384615387
Edward Norton,1.2345334666666667
Edward Zwick,23.697794886438608
Edwin L. Marin,3.229813664596273
Elaine May,0.26136692727272726
Eldar Salavatov,0.8564112
Eleanor Coppola,1.34
Eli Craig,1.0953586
Eli Roth,44.55167975196078
Elia Kazan,23.893894993894996
Elia Suleiman,0.11597046153846154
Elizabeth Allen Rosenbaum,1.9172374166666666
Elizabeth Banks,9.914006689655173
Elizabeth Wood,0.28606
Elliot Greenebaum,0.082
Elliott Lester,0.04735734783886451
Emile Ardolino,43.241758169213355
Emmanuelle Bercot,0.0052288
Engin Orbey,3.2663622526636225
Enrique Gato,2.7838111904761904
Eran Creevy,0.22493856634746923
Eran Riklis,0.00529125
Eric Blakeney,0.1631839
"Eric Bress, J. Mackye Gruber",7.38929676923077
Eric Brevig,4.779847540277778
"Eric Darnell, Simon J. Smith",2.829940106060606
"Eric Darnell, Tim Johnson",2.86263105
"Eric Darnell, Tom McGrath",11.128411306666667
Eric Lavaine,2.3914215
Eric Nicholas,0.010018
Eric Red,0.15714285714285714
Eric Styles,3.5e-06
"Eric Summer, Éric Warin",0.07837863333333334
"Eric Toledano, Olivier Nakache",32.81379734615385
Eric Wirix,1.9407012735220255
Erich von Stroheim,0.365507371007371
Erick Zonca,0.21666666666666667
Ericson Core,1.2735115333333333
Erik Canuel,1.5839125
Erik Gandini,1.6852514285714286
Erik Matti,0.4427325308025719
Erik Poppe,1.2133333333333334
Erik Van Looy,0.7197707142857143
Ernest R. Dickerson,8.679044239279278
Ernst Lubitsch,1.6695970695970697
Etan Cohen,2.795286325
Eugene Abizov,2.2584766694275347
Eugenio Derbez,18.012219272727272
Eugène Lourié,23.80952380952381
Evan Glodell,5.955058823529412
Evgeniy Bedarev,1.21171625
Eytan Fox,0.232414
F. Gary Gray,34.083746014351604
F. Javier Gutiérrez,3.3232356
"F. Richard Jones, James Young",32.0
Farah Khan,4.143675164835165
Farhan Akhtar,1.9716209716209716
Farren Blackburn,1.3082071
Fatih Akin,8.259971042105263
Fede Alvarez,21.606592928104575
Feng Xiaogang,2.174185
"Fenton Bailey, Randy Barbato",0.47539010000000004
"Fergal Reilly, Clay Kaytis",4.791500589041096
Fernando León de Aranoa,0.0366005
Fernando Meirelles,4.09246596
"Fernando Meirelles, Kátia Lund",9.28538484848485
Ferzan Ozpetek,1.1743164285714285
Filipp Yankovsky,0.7839462
Florent-Emilio Siri,2.5580710243439273
Floria Sigismondi,0.2995811
Florian Gallenberger,0.2586461428571429
Florian Henckel von Donnersmarck,37.78731369
Floyd Mutrux,4.0117627619047616
Forest Whitaker,5.09075975
Fran Rubel Kuzui,2.3749222857142858
Franc. Reyes,4.647818
Francine McDougall,1.2069957272727272
Francis Ford Coppola,66.85678961237878
Francis Lawrence,25.834655730834346
Francis Veber,9.144828094545455
Franck Khalfoun,0.9759601666666666
Franco Zeffirelli,1.75013025
Frank Borzage,25.0
Frank Capra,29.52236289531054
Frank Coraci,23.68466342366601
Frank Darabont,9.567302065555555
Frank Henenlotter,0.0820272
Frank Lloyd,8.751747216870747
Frank Marshall,8.916169429475806
Frank Miller,0.6505222833333333
Frank Oz,5.548705311671335
Frank Pierson,26.833333333333332
Frank Tashlin,2.3666666666666667
Franklin J. Schaffner,17.711479497536946
François Girard,0.5275226666666667
François Ozon,2.8770926923076923
François Truffaut,0.05965997322623828
Fred Dekker,0.800357196969697
Fred M. Wilcox,1.7105263157894737
Fred Savage,3.0328996666666668
Fred Schepisi,0.4605864666666667
Fred Wolf,2.8177176
Fred Zinnemann,40.37012622081115
Frederik Du Chau,4.080063233333333
Fritz Kiersch,17.5
Fritz Lang,2.4599083606424283
Frédéric Jardin,0.0013432
Fyodor Bondarchuk,5.3955146543138675
Félix Enríquez Alcalá,0.26666666666666666
Gabriel Range,0.0835
Gabriele Muccino,8.640817927272728
Gaby Dellal,0.0887924
Galt Niederhoffer,0.027515555555555557
Ganesh Raj,5.111111111111111
Gareth Edwards,17.072967796249998
Gareth Evans,4.315812404040404
Garry Marshall,68.1793959920191
Garth Davis,11.691896166666666
Garth Jennings,12.23971349
Gary Chapman,0.5565173142857143
Gary David Goldberg,2.985686661403509
Gary Fleder,7.846358033771043
Gary Goddard,0.7880168181818182
"Gary Goldman, Don Bluth",4.3270941656951445
"Gary Goldman, Don Bluth, Dan Kuenster",1.9637700724637681
Gary McKendry,0.875410696969697
Gary Nelson,1.79209505
Gary Ross,11.421878169195402
Gary Sherman,1.4191029523809524
Gary Shore,3.078988585714286
Gary Sinyor,0.7237571960784314
"Gary Trousdale, Kirk Wise",17.645858338333333
Gary Winick,27.39839707678855
Gaspar Noé,0.14104682051282053
Gauri Shinde,4.876752784146741
Gautham Vasudev Menon,10.69198312236287
Gavin Hood,9.260423253939393
Gavin O'Connor,11.950783980995672
Gene Fowler Jr.,24.390243902439025
Gene Kelly,1.3836707916666666
Genndy Tartakovsky,10.131520539705882
Geoff Burrowes,0.275583
"Geoff Moore, David Posamentier",0.0150286
Geoff Murphy,6.405401383333333
Geoffrey Sax,18.11808865
George A. Romero,367.38755024151243
George Armitage,0.136171
George Clooney,21.20740339642036
George Cukor,5.5842414945637024
George Fitzmaurice,3.9910394265232974
George Gallo,0.010088615384615385
George Hickenlooper,0.08669464
George Lucas,274.77865083544054
George Mendeluk,0.02786205
George Miller,270.59459893982904
"George Miller, George Ogilvie",2.9442242316722336
George Nolfi,2.5471987848605577
George P. Cosmatos,9.763548372121212
George Roy Hill,50.12455482049911
George Scribner,2.3919789032258065
George Seaton,10.0489151
George Sidney,12.06933591719564
George Stevens,16.64129828075695
George T. Miller,6.411556879464286
"George Tillman, Jr.",4.34053628370098
"Giacomo Ciarrapico, Mattia Torre, Luca Vendruscolo",0.37299998506504173
